idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
94,에프앤가이드,500,500,500,2409,NULL,NULL,3479,1615,2188,주당 현금배당금(원)보통주(1)당기,86,70,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,오이솔루션,500,500,500,46065,2584,-1786,47026,2641,-2338,주당 현금배당금(원)보통주(1)당기,656,400,120,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,코리아나,500,500,500,513,1654,1769,629,1362,1595,주당 현금배당금(원)보통주(1)당기,50,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,삼기,100,100,100,2008,589,10897,6390,6319,12839,주당 현금배당금(원)보통주(1)당기,-89,NULL,45,90,주당 현금배당금(원)우선주(*)(1)당기,0,30,45,NULL,NULL,NULL,NULL,NULL,NULL
98,인터엠,500,500,500,-7471,-5686,1965,-8275,-5196,2015,주당 현금배당금(원)보통주(1)당기,83,100,120,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,와토스코리아,500,500,500,3147,2902,3641,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,이상네트웍스,500,500,500,11395,6837,7977,853,4242,5604,주당 현금배당금(원)보통주(1)당기,100,100,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,에이치시티,500,500,500,6085,3628,88,7272,4610,318,주당 현금배당금(원)보통주(1)당기,-109,30,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,참좋은여행,500,500,500,NULL,NULL,NULL,22889,10236,12393,주당 현금배당금(원)보통주(1)당기,135,170,170,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,아시아경제,500,500,500,4083,29532,9092,852,30992,20067,주당 현금배당금(원)(1)당기,80,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,포스코강판,5000,5000,5000,2679,11348,17993,2914,10317,19078,주당 현금배당금(원)(1)당기,25,400,500,750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,토니모리,200,200,200,-5435,-7557,-5506,1008,6054,7303,주당 현금배당금(원)보통주(1)당기,249,NULL,100,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,NICE,500,500,500,29208,60139,49225,5118,-16465,5119,주당 현금배당금(원)보통주(1)당기,329,230,180,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,양지사,500,500,500,NULL,NULL,NULL,2317,2603,3580,주당 현금배당금(원)(1)당기,50,50,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,우양,100,5000,5000,NULL,NULL,NULL,3418,3933,338,주당 현금배당금(원)우선주(1)당기,-1991,50,2500,2500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,나노,500,500,100,-299,-467,89,476,-5617,-2830,주당 현금배당금(원)보통주(1)당기,20,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,고려제약,500,500,500,NULL,NULL,NULL,3895,6562,4683,주당 현금배당금(원)보통주(1)당기,111,100,100,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,해덕파워웨이,100,100,500,-13416,-6397,-2007,-13416,-7431,-1777,주당 현금배당금(원)보통주(1)당기,250,NULL,NULL,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,이오테크닉스,500,500,500,11846,21883,42991,7255,5478,18364,주당 현금배당금(원)보통주(1)당기,75,150,100,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,노랑풍선,500,500,500,-1656,4486,10436,-1661,4657,10436,주당 현금배당금(원)보통주(1)당기,-139,200,370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,네오팜,500,500,500,19245,15370,11559,18154,15804,12153,주당 현금배당금(원)보통주(1)당기,1008,750,650,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,갤럭시아머니트리,500,500,500,8838,4825,3073,8838,4856,4637,주당 현금배당금(원)보통주(1)당기,77,55,35,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,비즈니스온,500,500,500,4411,5293,5346,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,390,285,234,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,러셀,100,100,500,NULL,NULL,NULL,4208,41,6229,주당 현금배당금(원)보통주(1)당기,35,25,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,현대바이오랜드,500,500,500,10849,15047,11979,9568,13554,11807,주당 현금배당금(원)보통주(1)당기,449,350,300,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,유성기업,500,500,500,17390,3678,6236,13415,1488,6255,주당 현금배당금(원)(1)당기,259,200,100,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,아세아텍,500,500,500,NULL,NULL,4137,496,2929,3894,주당 현금배당금(원)보통주(1)당기,29,50,75,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
